equipment-export-2026-06-02-101353;;;;;;;;;;;
Registration Number;Fleet ID;Type;Vin/Serial ID;Make;Model;Engine Capacity;Fuel Consumption;Loading/Carrying Capacity (Tonnes);Location;Company;Status
;1MMM606;;;;;;;;;;AVAILABLE
;2PAL528;;;;;;;;;;AVAILABLE
;2UCT582;;;;;;;;;;AVAILABLE
;2RAT523;;;;;;;;;;AVAILABLE
;2PAZ527;;;;;;;;;;AVAILABLE
;2MLJ510;;;;;;;;;;AVAILABLE
;2LRT522;;;;;;;;;;AVAILABLE
;1MMY495;;;;;;;;;;AVAILABLE
;3MMX422;;;;;;;;;;AVAILABLE
;2PAT470;;;;;;;;;;AVAILABLE
;2PAT547;;;;;;;;;;AVAILABLE
;3MMX434;;;;;;;;;;AVAILABLE
;3MMX407;;;;;;;;;;AVAILABLE
;3MMX441;;;;;;;;;;AVAILABLE
;2PAZ465;;;;;;;;;;AVAILABLE
;2KHT490;;;;;;;;;;AVAILABLE
;2KPT479;;;;;;;;;;AVAILABLE
;2MLS464;;;;;;;;;;AVAILABLE
;3MMX384;;;;;;;;;;AVAILABLE
;3MMQ456;;;;;;;;;;AVAILABLE
;2MEZ487;;;;;;;;;;AVAILABLE
;1MMX366;;;;;;;;;;AVAILABLE
;3MMX416;;;;;;;;;;AVAILABLE
;3MMX389;;;;;;;;;;AVAILABLE
;1MMM306;;;;;;;;;;AVAILABLE
;2ZET346;;;;;;;;;;AVAILABLE
;2RAZ329;;;;;;;;;;AVAILABLE
;3MMX398;;;;;;;;;;AVAILABLE
;2MIT370;;;;;;;;;;AVAILABLE
;2JJIT359;;;;;;;;;;AVAILABLE
;2TIT180;;;;;;;;;;AVAILABLE
;1MMM281;;;;;;;;;;AVAILABLE
;2PAC257;;;;;;;;;;AVAILABLE
;2PAD252;;;;;;;;;;AVAILABLE
;1MMM294;;;;;;;;;;AVAILABLE
;2MLD154;;;;;;;;;;AVAILABLE
;2EST113;;;;;;;;;;AVAILABLE
;2PAL165;;;;;;;;;;AVAILABLE
;2GTT143;;;;;;;;;;AVAILABLE
;2EGT124;;;;;;;;;;AVAILABLE
;2MHT678;;;;;;;;;;AVAILABLE
;2HGT709;;;;;;;;;;AVAILABLE
;2RAS628;;;;;;;;;;AVAILABLE
;2MLZ623;;;;;;;;;;AVAILABLE
;1MMP87;;;;;;;;;;AVAILABLE
;1MMM619;;;;;;;;;;AVAILABLE
;2CCT662;;;;;;;;;;AVAILABLE
;1MMM614;;;;;;;;;;AVAILABLE
;2MLT214;;;;;;;;;;AVAILABLE
;2CCS100;;;;;;;;;;AVAILABLE
;2VST194;;;;;;;;;;AVAILABLE
;2EGJ138;;;;;;;;;;AVAILABLE
;2UCT624;;;;;;;;;;AVAILABLE
;2ESL674;;;;;;;;;;AVAILABLE
;1MMM613;;;;;;;;;;AVAILABLE
;2CMJ656;;;;;;;;;;AVAILABLE
;1MMM608;;;;;;;;;;AVAILABLE
;2PAZ574;;;;;;;;;;AVAILABLE
;2MLL588;;;;;;;;;;AVAILABLE
;3MMX428;;;;;;;;;;AVAILABLE
;3MMX414;;;;;;;;;;AVAILABLE
;2PAT597;;;;;;;;;;AVAILABLE
;3MMX396;;;;;;;;;;AVAILABLE
;2RAT559;;;;;;;;;;AVAILABLE
;2ESZ367;;;;;;;;;;AVAILABLE
;3MMX395;;;;;;;;;;AVAILABLE
;2TIL369;;;;;;;;;;AVAILABLE
;3MMX415;;;;;;;;;;AVAILABLE
;3MMX425;;;;;;;;;;AVAILABLE
;1MMX363;;;;;;;;;;AVAILABLE
;1MMM307;;;;;;;;;;AVAILABLE
;2MLC259;;;;;;;;;;AVAILABLE
;1MMM292;;;;;;;;;;AVAILABLE
;1MMM268;;;;;;;;;;AVAILABLE
;2KCT342;;;;;;;;;;AVAILABLE
;2TCT237;;;;;;;;;;AVAILABLE
;1MMM296;;;;;;;;;;AVAILABLE
